rank,author,outlier_score,likes,comments,total_engagement,hook_type,topic,angle,structure,first_line,hook_150,full_text,url
89,Reshma Saujani,0.1,53,3,57,Teacher,Leadership,First-Person Insight,Hook -> Punch Line,Proud of my friend Mitul Desai ❤️,Proud of my friend Mitul Desai ❤️,Proud of my friend Mitul Desai ❤️,https://www.linkedin.com/posts/reshma-saujani_his-brothers-mental-illness-isolated-his-activity-7412200368908058624-9hJV?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABXWSDsBRDKBdVxCmXW6KbToEUrvJQ3rCTs
90,Reshma Saujani,0.1,40,14,56,Teacher,Women in Leadership,Direct Advice,Hook -> Punch Line,Did you know the first Monday of the year is National Divorce Day?,"Did you know the first Monday of the year is National Divorce Day?  I've got divorce therapist & expert, Oona Metz, LICSW, CGP, back on My So-Called M","Did you know the first Monday of the year is National Divorce Day?

I've got divorce therapist & expert, Oona Metz, LICSW, CGP, back on My So-Called Midlife this week to answer all my questions about divorce, including the surprising link between mortgage rates and marriage.

The full episode drops Wednesday.

Oona’s new book, ‘Unhitched: The Essential Divorce Guide for Women’ (out Jan. 13) is available for pre-order now. 😉

#divorce #marriage #relationships #mortgagerates #finance",https://www.linkedin.com/posts/reshma-saujani_divorce-marriage-relationships-activity-7414088276266868736-YHgE?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABXWSDsBRDKBdVxCmXW6KbToEUrvJQ3rCTs
91,Reshma Saujani,0.1,44,7,52,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,"If we remember one thing from the year, I hope it’s this.","If we remember one thing from the year, I hope it’s this.  We are being intentionally divided.","If we remember one thing from the year, I hope it’s this.

We are being intentionally divided.",https://www.linkedin.com/posts/reshma-saujani_if-we-remember-one-thing-from-the-year-i-activity-7409304303271755776-NAS3?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE2a-BEBl09j2DeKHhRpFDkwRhKN70r29bw
92,Reshma Saujani,0.1,49,2,51,Teacher,Leadership,Thought Leadership,Hook -> List -> Insight,Here’s to us living more intentionally in 2026. 👏🏼👏🏼👏🏼,Here’s to us living more intentionally in 2026. 👏🏼👏🏼👏🏼  Bozoma Saint John has the best mantra: don’t just seize the day. Pluck it!  Why plan for the n,"Here’s to us living more intentionally in 2026. 👏🏼👏🏼👏🏼

Bozoma Saint John has the best mantra: don’t just seize the day. Pluck it!

Why plan for the next 5 or 10 years when you can intentionally “pluck” what you need from today?

📺: My So-Called Midlife, ‘How to Stop Giving a F**k with Bozoma Saint John’",https://www.linkedin.com/posts/reshma-saujani_heres-to-us-living-more-intentionally-in-activity-7412528965413785600-2-vl?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABXWSDsBRDKBdVxCmXW6KbToEUrvJQ3rCTs
93,Reshma Saujani,0.1,44,6,50,Teacher,Women in Leadership,Direct Advice,Hook -> List -> Insight,Thank you to Jennifer Gerson for including me in The 19th's Menopause newsletter this week!,"Thank you to Jennifer Gerson for including me in The 19th's Menopause newsletter this week!  -----  ""Saujani said that one of the motivations behind l","Thank you to Jennifer Gerson for including me in The 19th's Menopause newsletter this week!

-----

""Saujani said that one of the motivations behind launching her podcast was that 'we literally need to have a new script for women in midlife' — including, but not limited to, showing a diverse set of faces and experiences who can show exactly what potential midlife can hold. 

'Zarna Garg became a comedian after 16 years of staying home. Ketanji Brown Jackson made her dream since she was a child come true. Yvette Nicole Brown has a love of her life at 53. You’re seeing women who are actually entering the best stage of their life and they’re rewriting those norms. The thing is, we don’t always hear about them as the norm, we hear about them as the exception,' she said. 

As a woman of color with a platform, Saujani said that she understands the privilege she has to shift the narrative. She hopes more women — and more different kinds of women — start to talk about midlife and quite literally put a face to. 

'You don’t have to have it all happen in the first half of your life. I’m excited about this being the best time of my life, the period of my life where I accomplish the most, because I don’t feel anywhere close to being done.'”

#menopause #midlife",https://www.linkedin.com/posts/reshma-saujani_menopause-midlife-activity-7404964976257499138-VI8h?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADQ_LHkB2V_Pv_5w1EehW46rK8xbW3kA2r8
94,Reshma Saujani,0.1,41,4,45,Teacher,Motherhood / Family,Thought Leadership,Hook -> Punch Line,"Let go of all that guilt, moms.","Let go of all that guilt, moms.  Ej Dickson joined me on My So-Called Midlife this week for an episode all about mom guilt and ""bad moms.""  Her amazin","Let go of all that guilt, moms.

Ej Dickson joined me on My So-Called Midlife this week for an episode all about mom guilt and ""bad moms.""

Her amazing new book, One Bad Mother: In Praise of Psycho Housewives, Stage Parents, Momfluencers, and Other Women We Love to Hate, is out February 10th!

Listen to the full episode here: https://lnkd.in/eHGFjMEV",https://www.linkedin.com/posts/reshma-saujani_let-go-of-all-that-guilt-moms-ej-dickson-activity-7425914231796985856-95f-?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEIWbD0BJKrG7iRdUpFYZAC3-9q6QhxhwOY
95,Reshma Saujani,0.1,40,2,42,Teacher,Motherhood / Family,Thought Leadership,Hook -> Punch Line,CNN's Abby Phillip breaks down the problem with putting moms into political boxes.,"CNN's Abby Phillip breaks down the problem with putting moms into political boxes.   Amen, Abby!!  Listen to this week's episode of My So-Called Midli","CNN's Abby Phillip breaks down the problem with putting moms into political boxes. 

Amen, Abby!!

Listen to this week's episode of My So-Called Midlife for our full chat on the politics of kindness. 😉",https://www.linkedin.com/posts/reshma-saujani_cnns-abby-phillipbreaks-down-the-problem-activity-7407222033513684993-59dk?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE2a-BEBl09j2DeKHhRpFDkwRhKN70r29bw
96,Reshma Saujani,0.1,36,3,40,Teacher,Leadership,Practical Framework,Hook -> Punch Line,"What the heck is chatfishing? And why is it a problem? Dating expert Damona Hoffman joined me on My So-Called Midlife this week to break down the rules of finding modern love in midlife. She also gave me some of her best practical tips, including taking a new match offline as early as possible.",What the heck is chatfishing? And why is it a problem? Dating expert Damona Hoffman joined me on My So-Called Midlife this week to break down the rule,"What the heck is chatfishing? And why is it a problem? Dating expert Damona Hoffman joined me on My So-Called Midlife this week to break down the rules of finding modern love in midlife. She also gave me some of her best practical tips, including taking a new match offline as early as possible.

Listen to the episode on all your favorite podcast apps and then pick up a copy of Damona's book, F the Fairy Tale!",https://www.linkedin.com/posts/reshma-saujani_what-the-heck-is-chatfishing-and-why-is-activity-7396913827876872192-qWz7?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8g_d4BGgZxQ4CpVaBEYFZUA5xzoL9hj_I
97,Reshma Saujani,0.1,38,1,39,Teacher,Leadership,Direct Advice,Hook -> Punch Line,Thank you Dee Poku Spalding and The WIE Suite for championing our work from the beginning. ❤️,Thank you Dee Poku Spalding and The WIE Suite for championing our work from the beginning. ❤️,Thank you Dee Poku Spalding and The WIE Suite for championing our work from the beginning. ❤️,https://www.linkedin.com/posts/reshma-saujani_theres-a-reason-im-drawn-to-women-who-sit-activity-7416551409304768512-gjYz?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7gKtAB2g4oHA8yJY0VljOb7bPdVFl3jU4
98,Reshma Saujani,0.1,34,2,37,Magician,Philanthropy / Cause,Data-Driven Revelation,Hook -> Insight -> Close,"While roughly 45% of large employers covered IVF in 2023, childcare benefits are still an anomaly in corporate America.","While roughly 45% of large employers covered IVF in 2023, childcare benefits are still an anomaly in corporate America.  What if I told you America’s ","While roughly 45% of large employers covered IVF in 2023, childcare benefits are still an anomaly in corporate America.

What if I told you America’s workers need fertility benefits AND child care benefits?

And listen, fertility benefits matter. I should know. I struggled with infertility for years. But the benefits can’t just stop there. They should cover the ENTIRE course of motherhood and parenthood.

This is something my organization, Moms First, is working to change. Join us!
.
.
.

Video: AdviceWithErin, August 21, 2024, No One Knows What They’re Doing",https://www.linkedin.com/posts/reshma-saujani_while-roughly-45-of-large-employers-covered-activity-7403844897117618178-7ojP?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADQ_LHkB2V_Pv_5w1EehW46rK8xbW3kA2r8
99,Reshma Saujani,0.1,34,1,36,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,Proud to co-author this today in TIME with President Harriet B. Nembhard!,Proud to co-author this today in TIME with President Harriet B. Nembhard!,Proud to co-author this today in TIME with President Harriet B. Nembhard!,https://www.linkedin.com/posts/reshma-saujani_i-met-reshma-saujani-when-she-delivered-the-activity-7414783074661675008-Xh_D?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABXWSDsBRDKBdVxCmXW6KbToEUrvJQ3rCTs
