authorName,authorProfileId,postedAtISO,numLikes,numComments,numShares,type,text,url
Fidji Simo,fidjisimo,2023-10-05T14:21:12.408Z,1302,73,9,article,"Well, that’s a cool birthday surprise! So honored to be part of Fortune’s annual list of the top 100 Most Powerful Women, alongside other phenomenal women (including the one and only Meredith Kopit Levien, who is on Instacart’s board!). It’s really meaningful to see the work of transforming Instacart be recognized, especially since I’m lucky to do this in the company of amazing women on my leadership team who inspire me every day like Asha Sharma, Dani Dudeck, Christina Hall (she/her) and Laura Jones . Also a big shoutout to Sheryl Sandberg who helped so many of us believe that this was possible.",https://www.linkedin.com/posts/fidjisimo_fidji-simo-2023-most-powerful-women-activity-7115702470844051458-wW-5?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADDbKyUBliJAU6h5u1uTmkzg1K3FEkbghHU
Fidji Simo,fidjisimo,2025-05-06T15:13:48.315Z,1326,41,95,image,"Say hi to Fizz, our new group ordering app for drinks and snacks launching today! It came together fast (111 days!) thanks to our incredible team and AI tools, and I’m especially excited about the Partiful integration, which meets people right where they're already planning to hang out. Check it out at fizz.com 🥂

https://lnkd.in/gSBEWk7H",https://www.linkedin.com/posts/fidjisimo_say-hi-to-fizz-our-new-group-ordering-app-activity-7325538281859821568-WAL5?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADEuMPsBItO1Ss0Do7bk9itVdUQhkJsHebI
Fidji Simo,fidjisimo,2025-11-07T21:36:21.766Z,1259,42,23,article,"UCSF is bringing ChatGPT to all its doctors, researchers, students, and staff — for everything from AI-supported teaching and learning to accelerating clinical research.

AI is already making a huge difference in health and education. Seeing a leading medical center go all-in like this makes me so hopeful about what’s possible.",https://www.linkedin.com/posts/fidjisimo_openais-chatgpt-coming-to-ucsf-in-early-activity-7392676310747308032-Gtan?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFjBloEBCoRBULr0MiXfwMUhIt-tIPpF5F8
Fidji Simo,fidjisimo,2025-01-13T20:25:25.180Z,1098,36,71,image,"We’ve barely just launched Community Carts on Instacart and we are already delivering thousands of bags of groceries and daily essentials to emergency centers in LA. One of the leaders of a YMCA we work with was watching the cars pull up and said “omg, what are these magical cars showing up with food we need so much of!” - magic indeed. So much emotion looking at all these bags growing by the minute, with many orders in excess of $1000+. In the middle of this tragedy, we’re really witnessing the best of humanity. And we’re just getting started. Thank you to everyone who is jumping on to help LA; you can donate items here: https://lnkd.in/gMPZtUTT",https://www.linkedin.com/posts/fidjisimo_weve-barely-just-launched-community-carts-activity-7284666873382674432-nesV?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE0Wae8Bdw49TBBX9odwCVUCDyBMCOF71rc
Fidji Simo,fidjisimo,2024-03-18T23:35:11.305Z,1009,59,40,linkedinVideo,"My family enjoyed taking Instacart’s Caper Carts for a spin on our last grocery trip at Bristol Farms in Santa Monica. Excited to see our smart carts hitting more and more stores and delivering such a smooth experience. Got a rave review from my toughest critic, my daughter, who is now begging to go back to the store for more Lucky Charms.",https://www.linkedin.com/posts/fidjisimo_my-family-enjoyed-taking-instacarts-caper-activity-7175635882706698240-8H1F?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFsquNIBL-Bah7UT0aAl0gV3gz4HeyE43g0
Fidji Simo,fidjisimo,2024-03-27T21:31:06.345Z,975,36,24,article,"Very excited to unveil our Instacart Developer Platform so that third party apps - from Weight Watchers to New York Times Cooking to GE Appliances - can turn their food discovery apps into food delivery apps, leveraging all the leading capabilities we’ve built over the last decade. I can’t wait to see the kind of innovation that Instacart will power.",https://www.linkedin.com/posts/fidjisimo_instacart-wants-to-be-everywhere-from-smart-activity-7178866147071594497-dSal?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFsquNIBL-Bah7UT0aAl0gV3gz4HeyE43g0
Fidji Simo,fidjisimo,2024-09-25T18:50:28.643Z,968,29,9,image,So so proud of Vijaye Raji for taking Statsig to new heights and realizing his dream of creating a highly successful company that’s helping tons of startups make better data-driven decisions. He’s one of my very favorite people and there is no greater joy than seeing amazing people do their magic. I still remember the many times when we talked about him becoming a founder (despite me trying to keep him at Facebook for as long as I could). It was so fun to speak at his conference this morning - truly a full-circle moment. ❤️,https://www.linkedin.com/posts/fidjisimo_so-so-proud-of-vijaye-raji-for-taking-statsig-activity-7244780315158708225-6i8H?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADRLxmYBjQllh69blscrM6WMVeCVic4YoOs
Fidji Simo,fidjisimo,2025-10-08T20:04:57.288Z,913,43,18,article,"Honored to share my essay in l'Opinion’s special issue on AI leaders in Europe. I wrote about why AI’s greatest promise lies in making opportunities more widely shared, and the role that France and Europe can play in shaping that future. As someone deeply proud to be French, it’s inspiring to see how our country’s values and creativity are shaping the future of AI.
You can read it here:",https://www.linkedin.com/posts/fidjisimo_making-ai-a-shared-opportunity-fidji-simo-activity-7381781671211233280-tAKp?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFjBloEBCoRBULr0MiXfwMUhIt-tIPpF5F8
Fidji Simo,fidjisimo,2025-11-20T17:00:09.157Z,880,57,28,article,"You can now use ChatGPT with your friends! Group chats are now rolling out globally to Free, Go, Plus and Pro plans so you can make ChatGPT a multiplayer experience when you want. More on that here:",https://www.linkedin.com/posts/fidjisimo_a-new-way-to-collaborate-in-chatgpt-activity-7397317842439790592-X8HY?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAAZHa_MBjyPSifUwtJTumM7WvyEQp1ka14g
Fidji Simo,fidjisimo,2025-11-18T07:39:04.518Z,859,40,14,article,Three months at OpenAI already! I shared more of our plans with WIRED.,https://www.linkedin.com/posts/fidjisimo_openais-fidji-simo-plans-to-make-chatgpt-activity-7396451866978672640-pBzP?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFjBloEBCoRBULr0MiXfwMUhIt-tIPpF5F8
